Year,Month,Day,Hour,Minute,Second,PredictedTide,VerifiedTide,ModeledTide
2012,5,23,8,30,0.,0.2,0.42,0.15038253555139786
2012,5,23,8,36,0.,0.22,0.4,0.1685546986138921
2012,5,23,8,42,0.,0.23,0.37,0.18705682023722708
2012,5,23,8,48,0.,0.25,0.39,0.20587621999144357
2012,5,23,8,54,0.,0.26,0.35,0.22500000000000003
2012,5,23,9,0,0.,0.28,0.44,0.24441505377933287
2012,5,23,9,6,0.,0.3,0.47,0.2641080752213853
2012,5,23,9,12,0.,0.31,0.5,0.2840655677129492
2012,5,23,9,18,0.,0.33,0.52,0.3042738533855699
2012,5,23,9,24,0.,0.34,0.59,0.32471908248967374
2012,5,23,9,30,0.,0.36,0.6,0.3453872428864948
2012,5,23,9,36,0.,0.38,0.59,0.3662641696512947
2012,5,23,9,42,0.,0.4,0.59,0.3873355547812947
2012,5,23,9,48,0.,0.42,0.62,0.4085869570016658
2012,5,23,9,54,0.,0.44,0.57,0.4300038116628574
2012,5,23,10,0,0.,0.45,0.6,0.45157144072248045
2012,5,23,10,6,0.,0.47,0.64,0.4732750628049046
2012,5,23,10,12,0.,0.49,0.63,0.4950998033316747
2012,5,23,10,18,0.,0.51,0.65,0.5170307047158038
2012,5,23,10,24,0.,0.53,0.68,0.5390527366129562
2012,5,23,10,30,0.,0.55,0.67,0.5611508062224946
2012,5,23,10,36,0.,0.57,0.69,0.5833097686313318
2012,5,23,10,42,0.,0.59,0.72,0.6055144371934977
2012,5,23,10,48,0.,0.61,0.73,0.6277495939383079
2012,5,23,10,54,0.,0.63,0.74,0.65
2012,5,23,11,0,0.,0.65,0.75,0.6722504060616922
2012,5,23,11,6,0.,0.67,0.77,0.6944855628065023
2012,5,23,11,12,0.,0.69,0.82,0.7166902313686683
2012,5,23,11,18,0.,0.71,0.86,0.7388491937775055
2012,5,23,11,24,0.,0.73,0.87,0.7609472633870439
2012,5,23,11,30,0.,0.75,0.91,0.7829692952841962
2012,5,23,11,36,0.,0.77,0.91,0.8049001966683254
2012,5,23,11,42,0.,0.79,0.97,0.8267249371950954
2012,5,23,11,48,0.,0.81,0.96,0.8484285592775196
2012,5,23,11,54,0.,0.83,0.96,0.8699961883371427
2012,5,23,12,0,0.,0.85,0.94,0.8914130429983342
2012,5,23,12,6,0.,0.87,0.98,0.9126644452187054
2012,5,23,12,12,0.,0.89,1.01,0.9337358303487053
2012,5,23,12,18,0.,0.91,1.02,0.9546127571135052
2012,5,23,12,24,0.,0.93,1.03,0.9752809175103263
2012,5,23,12,30,0.,0.95,1.06,0.9957261466144302
2012,5,23,12,36,0.,0.97,1.08,1.0159344322870507
2012,5,23,12,42,0.,0.99,1.04,1.0358919247786147
2012,5,23,12,48,0.,1.01,1.02,1.0555849462206672
2012,5,23,12,54,0.,1.03,1.11,1.075
2012,5,23,13,0,0.,1.05,1.13,1.0941237800085566
2012,5,23,13,6,0.,1.06,1.08,1.112943179762773
2012,5,23,13,12,0.,1.08,1.11,1.1314453013861079
2012,5,23,13,18,0.,1.1,1.12,1.1496174644486021
2012,5,23,13,24,0.,1.12,1.14,1.1674472146574124
2012,5,23,13,30,0.,1.14,1.13,1.1849223323923619
2012,5,23,13,36,0.,1.15,1.13,1.2020308410806562
2012,5,23,13,42,0.,1.17,1.19,1.2187610154050295
2012,5,23,13,48,0.,1.19,1.25,1.235101389339691
2012,5,23,13,54,0.,1.2,1.26,1.2510407640085655
2012,5,23,14,0,0.,1.22,1.28,1.2665682153604445
2012,5,23,14,6,0.,1.23,1.14,1.2816731016557852
2012,5,23,14,12,0.,1.25,1.28,1.2963450707600264
2012,5,23,14,18,0.,1.26,1.41,1.3105740672384252
2012,5,23,14,24,0.,1.28,1.33,1.32435033924755
2012,5,23,14,30,0.,1.29,1.3,1.3376644452187052
2012,5,23,14,36,0.,1.31,1.38,1.3505072603287134
2012,5,23,14,42,0.,1.32,1.39,1.3628699827536104
2012,5,23,14,48,0.,1.33,1.4,1.3747441397009785
2012,5,23,14,54,0.,1.34,1.45,1.3861215932167728
2012,5,23,15,0,0.,1.35,1.49,1.3969945457626705
2012,5,23,15,6,0.,1.36,1.44,1.4073555455601126
2012,5,23,15,12,0.,1.37,1.53,1.4171974916973815
2012,5,23,15,18,0.,1.38,1.52,1.4265136389962108
2012,5,23,15,24,0.,1.39,1.51,1.4352976026345936
2012,5,23,15,30,0.,1.4,1.53,1.4435433625226215
2012,5,23,15,36,0.,1.41,1.56,1.4512452674283516
2012,5,23,15,42,0.,1.42,1.56,1.4583980388508806
2012,5,23,15,48,0.,1.42,1.58,1.4649967746379642
2012,5,23,15,54,0.,1.43,1.61,1.4710369523457079
2012,5,23,16,0,0.,1.43,1.59,1.476514432338025
2012,5,23,16,6,0.,1.44,1.6,1.481425460623735
2012,5,23,16,12,0.,1.44,1.61,1.4857666714293614
2012,5,23,16,18,0.,1.45,1.65,1.4895350895058672
2012,5,23,16,24,0.,1.45,1.66,1.4927281321677388
2012,5,23,16,30,0.,1.45,1.68,1.4953436110630323
2012,5,23,16,36,0.,1.45,1.71,1.4973797336731587
2012,5,23,16,42,0.,1.45,1.68,1.4988351045413877
